編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLNJNHIFFAG47CA,羅群段,800.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLMJNHIFFAG87CA,維揚段,221.25,都市：其他
RPUOMLQJNHIFFBG38CA,枕山段,1139.95,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLPJNHIFFBG97CA,宜蘭段坤門小段,108.00,都市：住
RPSOMLRJNHIFFAG18CA,新西安段,1455.05,非都市：特定農業區 ; 非都市編定：農牧用地
RPWOMLMJNHIFFAG08CA,季新段,53.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNJNHIFFBG08CA,五峰段,20.21,都市：住
RPUNMLOKNHIFFAG08CA,坪林段,106.71,都市：住
RPVPMLTJNHIFFBG88CA,大坑罟段,104.00,都市：住
RPTPMLNKNHIFFAG08CA,北成段,33.06,都市：住
RPXOMLRJNHIFFAG68CA,行健段,1598.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSPMLTJNHIFFBG58CA,五峰段,8.88,都市：住
RPWQMLTJNHIFFBG09CA,金六結段七結小段,19.54,都市：住
RPWQMLTJNHIFFBG09CA,金六結段七結小段,.76,都市：住
RPROMLKKNHIFFBG57CA,義結段,20.30,都市：住
RPPNMLMJNHIFFAG37DA,大埔段,2677.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNKNHIFFAG38EA,國民一段,254.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNKNHIFFAG38EA,國民一段,324.65,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLNKNHIFFAG28EA,國民一段,57.44,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLKLNHIFFAG87EA,萬貴段,792.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLPKNHIFFBG58CA,新張段,15.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLPKNHIFFBG58CA,新張段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLNJNHIFFBG87EA,拔雅林段拔雅林小段,19.45,都市：住
RPXPMLQJNHIFFAG78DA,國華段,35.40,都市：住
RPPOMLNJNHIFFBG77EA,宜蘭段坤門小段,41.33,都市：住
RPUOMLPKNHIFFBG48DA,宜商段,23.76,都市：住
RPSNMLNKNHIFFBG08EA,拔雅林段拔雅林小段,35.00,都市：住
RPSNMLNKNHIFFBG08EA,拔雅林段拔雅林小段,90.00,都市：住
RPPNMLKKNHIFFAG37EA,寒溪段,200.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLNJNHIFFAG87EA,水源段,265.21,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLMJNHIFFBG28EA,宜商段,11.78,都市：住
RPPOMLNJNHIFFAG67EA,大吉段,132.00,非都市：特定農業區 ; 非都市編定：水利用地
RPOOMLNJNHIFFAG57EA,大吉段,23.00,非都市：特定農業區 ; 非都市編定：水利用地
RPQOMLNJNHIFFAG77EA,大吉段,78.00,非都市：特定農業區 ; 非都市編定：水利用地
RPROMLNJNHIFFAG87EA,大吉段,14.00,非都市：特定農業區 ; 非都市編定：水利用地
RPWNMLTJNHIFFBG98EA,新生段,377.02,都市：住
RPSOMLMJNHIFFAG87EA,維揚段,24.79,都市：住
RPXOMLRJNHIFFAG88EA,學進段,257.18,都市：住
RPXOMLRJNHIFFAG88EA,學進段,12.28,都市：住
RPPRMLTJNHIFFBG48CA,常興段,1512.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPRMLTJNHIFFBG48CA,常興段,1592.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPRMLTJNHIFFBG48CA,常興段,1600.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPPMLSJNHIFFAG18DA,二萬五段,3446.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPPPMLSJNHIFFAG18DA,二萬五段,2522.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLQJNHIFFBG87CA,金六結段金結小段,315.00,都市：住
RPOOMLSJNHIFFBG97CA,民生段,260.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVPMLQJNHIFFAG58DA,義成三段,89.94,都市：住
RPXOMLMJNHIFFBG38DA,金六結段六結小段,28.85,都市：住
RPRNMLPJNHIFFBG87CA,功勞段,2533.50,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLRJNHIFFBG28CA,金六結段七結小段,107.00,都市：住
RPTNMLRJNHIFFBG28CA,金六結段七結小段,17.67,都市：住
RPQQMLTJNHIFFBG48CA,壯東段,107.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLQJNHIFFAG87CA,八王城段,2794.26,非都市：特定農業區 ; 非都市編定：農牧用地
RPSPMLRJNHIFFAG28CA,協和段,1390.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLRJNHIFFAG28CA,協和段,1190.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLSJNHIFFAG38CA,東和段,51.92,都市：住
RPVNMLQKNHIFFAG38CA,梅林段,224.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLQKNHIFFAG38CA,梅林段,85.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLRLNHIFFAG88CA,福山段,158.24,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLMJNHIFFAG97CA,信義段,6.03,都市：住
RPVOMLMJNHIFFAG97CA,信義段,.62,都市：住
RPVOMLMJNHIFFAG97CA,信義段,5.30,都市：住
RPOQMLRJNHIFFAG97CA,山明段,19.50,都市：住
RPOQMLRJNHIFFAG97CA,山明段,83.21,都市：住
RPUOMLPKNHIFFAG28CA,家福段,108.20,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLNJNHIFFAG77CA,文祥段,67.52,都市：住
RPPQMLRJNHIFFAG08CA,山明段,29.25,都市：住
RPPQMLRJNHIFFAG08CA,山明段,73.45,都市：住
RPOOMLQJNHIFFAG67CA,國民一段,2507.78,非都市：特定農業區 ; 非都市編定：農牧用地
RPOPMLRLNHIFFAG08CA,香和段,14.90,都市：住
RPOPMLRLNHIFFAG08CA,香和段,183.25,都市：住
RPPOMLKKNHIFFAG27CA,尾塹段,1042.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLTJNHIFFBG68CA,黎明段,391.06,都市：住
RPPPMLNKNHIFFAG67CA,大進段,2942.17,非都市：一般農業區 ; 非都市編定：農牧用地
RPSRMLTJNHIFFBG78CA,壯一段,21.00,都市：住
RPTNMLKKNHIFFBG67CA,深洲段,1646.72,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLPKNHIFFAG38CA,東和段,73.59,都市：工
RPVOMLPKNHIFFAG38CA,東和段,99.12,都市：工
RPRQMLTJNHIFFBG58CA,金六結段七結小段,81.00,都市：住
RPRQMLTJNHIFFBG58CA,金六結段七結小段,132.77,都市：住
RPVNMLKKNHIFFBG87CA,金六結段六結小段,74.00,都市：住
RPSQMLKKNHIFFBG87CA,振興段,1206.00,都市：農
RPSQMLKKNHIFFBG87CA,振興段,1206.00,都市：農
RPSQMLKKNHIFFBG87CA,振興段,1206.00,都市：農
RPSQMLKKNHIFFBG87CA,振興段,895.00,都市：農
RPTRMLTJNHIFFBG88CA,協天段,15.61,都市：住
RPOOMLKKNHIFFBG27CA,德陽段,10.29,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLKKNHIFFBG37CA,五峰段,11.99,都市：住
RPRQMLKKNHIFFBG77CA,五峰段,9.58,都市：住
RPOOMLNKNHIFFBG57CA,新塭段,2522.59,非都市：一般農業區 ; 非都市編定：農牧用地
RPPPMLNKNHIFFBG77CA,深賢段,940.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVQMLKKNHIFFBG18CA,進士段,91.75,都市：住
RPQOMLPKNHIFFBG97CA,溫泉段,106.75,都市：住
RPQOMLPKNHIFFBG97CA,溫泉段,337.40,都市：住
RPORMLKKNHIFFBG57CA,雙福段,71.47,都市：住
RPOPMLNKNHIFFBG67CA,乾門一段,62.52,都市：住
RPWQMLKKNHIFFBG28CA,朝陽段,691.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWQMLKKNHIFFBG28CA,朝陽段,32.00,非都市：一般農業區 ; 非都市編定：水利用地
RPSOMLLLNHIFFBG87CA,拔雅林段武營小段,75.00,都市：住
RPXOMLSJNHIFFAG88DA,梅花段,1300.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXOMLSJNHIFFAG88DA,梅花段,1887.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLTJNHIFFBG68DA,三泰段,2520.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLQKNHIFFBG97CA,中興段,142.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSOMLRKNHIFFBG38CA,金六結段七結小段,19.35,都市：住
RPSOMLRKNHIFFBG38CA,金六結段七結小段,74.00,都市：住
RPQNMLQJNHIFFAG97EA,新群段,266.66,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLQJNHIFFAG97EA,新群段,266.67,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLQJNHIFFAG97EA,新群段,266.67,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKKNHIFFBG37DA,金六結段金結小段,216.00,都市：住
RPPNMLNKNHIFFAG57DA,維揚段,36.10,都市：住
RPPRMLRKNHIFFBG48DA,珍子滿力段擺厘小段,5.52,都市：住
RPUOMLTJNHIFFBG88EA,壯一段,73.00,都市：住
RPVNMLRJNHIFFAG58EA,南安段,32.00,都市：商
RPVNMLRJNHIFFAG58EA,南安段,8.00,都市：商
RPVNMLRJNHIFFAG58EA,南安段,6.00,都市：其他
RPVNMLRJNHIFFAG58EA,南安段,81.00,都市：商
RPVNMLRJNHIFFAG58EA,南安段,10.00,都市：商
RPVNMLRJNHIFFAG58EA,南安段,8.00,都市：其他
RPRNMLKKNHIFFBG57DA,金六結段六結小段,.58,都市：住
RPRNMLKKNHIFFBG57DA,金六結段七結小段,21.93,都市：住
RPPPMLQJNHIFFAG08EA,廣興段,74.90,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLOKNHIFFAG38EA,公正段,.11,都市：住
RPUOMLOKNHIFFAG38EA,公正段,98.00,都市：住
RPWPMLTJNHIFFBG56EA,三泰段,96.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXPMLTJNHIFFBG66EA,坤門一段,69.57,都市：商
RPRNMLOKMHKFFBG18EA,建蘭段,190.00,都市：農
RPWOMLRKNHIFFBG98EA,更新段,248.01,都市：其他
RPWOMLRKNHIFFBG98EA,外澳段,278.92,都市：其他
RPWOMLRKNHIFFBG98EA,外澳段,466.51,都市：其他
RPWOMLRKNHIFFBG98EA,外澳段,42.97,都市：其他
RPWOMLRKNHIFFBG98EA,外澳段,254.38,都市：其他
RPQPMLTJNHIFFAG48EA,加新段,349.54,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQRMLRKNHIFFBG58DA,大湖段茄苳林小段,616.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTOMLNJNHIFFAG08EA,維揚段,85.00,都市：住
RPPNMLRJNHIFFAG97EA,文化段,58.86,都市：住
RPTNMLNLNHIFFBG08CA,深洲段,1165.39,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRKNHIFFBG97CA,凱旋段,72.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLRKNHIFFAG08EA,大德段,122.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLOKNHIFFAG48EA,五結段,125.00,都市：住
RPTOMLLLNHIFFBG97CA,湯仔城段,1.72,都市：商
RPTOMLLLNHIFFBG97CA,湯仔城段,2.88,都市：商
RPTOMLKKNHIFFBG77CA,金六結段七結小段,78.00,都市：住
RPTOMLKKNHIFFBG77CA,金六結段七結小段,94.66,都市：住
RPTOMLKKNHIFFBG77CA,金六結段七結小段,106.39,都市：住
RPTOMLKKNHIFFBG77CA,金六結段七結小段,14.24,都市：住
RPTOMLKKNHIFFBG77CA,金六結段七結小段,.71,都市：住
RPQNMLPKNHIFFBG87CA,金泰段,38.27,都市：住
RPSPMLNKNHIFFAG97CA,碼崙段,3000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUOMLKKNHIFFBG87CA,金六結段金結小段,31.06,都市：住
RPWOMLKKNHIFFBG08CA,新生段,13.79,都市：商
RPWOMLKKNHIFFBG08CA,新生段,1.79,都市：其他
RPVOMLKKNHIFFBG97CA,玉田段,116.32,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRPMLTJNHIFFBG48CA,下新興段,34.54,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRPMLTJNHIFFBG48CA,下新興段,24.08,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVQMLTJNHIFFBG98CA,義結段,26.82,都市：住
RPWPMLNKNHIFFAG38CA,北成段,94.00,都市：住
RPPOMLOKNHIFFAG67CA,新隘段,84.93,都市：商
RPPOMLOKNHIFFAG67CA,新隘段,1.80,都市：其他
RPWOMLPKNHIFFAG48CA,國華段,10.31,都市：住
RPOOMLOKNHIFFAG57CA,東安段,90.00,都市：住
RPOOMLOKNHIFFAG57CA,東安段,14.00,都市：住
RPPPMLPKNHIFFAG87CA,南昌段,36.00,都市：住
RPPPMLPKNHIFFAG87CA,南昌段,97.00,都市：住
RPXNMLSJNHIFFAG68CA,百福段,63.77,都市：住
RPPOMLRJNHIFFAG87CA,學進段,5.54,都市：住
RPPOMLRJNHIFFAG87CA,學進段,110.68,都市：住
RPPOMLRJNHIFFAG87CA,學進段,2.41,都市：其他
RPWPMLTJNHIFFAG88CA,百福段,21.94,都市：住
RPWPMLTJNHIFFAG88CA,百福段,7.12,都市：住
RPSPMLSJNHIFFAG38CA,保安段,617.19,都市：住
RPVNMLSJNHIFFAG48CA,羅莊段,102.35,都市：住
RPSNMLPLNHIFFAG08CA,萬貴段,1631.33,非都市：特定農業區 ; 非都市編定：農牧用地
RPQPMLRJNHIFFAG08CA,北成段,.63,都市：住
RPQPMLRJNHIFFAG08CA,北成段,3.55,都市：住
RPQPMLSJNHIFFAG18CA,東和段,78.63,都市：住
RPXNMLQKNHIFFAG58CA,百松段,876.00,非都市：風景區 ; 非都市編定：農牧用地
RPXNMLQKNHIFFAG58CA,百松段,1092.00,非都市：風景區 ; 非都市編定：農牧用地
RPTPMLPKNHIFFAG28CA,腳段,2949.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLQLNHIFFAG08CA,山明段,23.11,都市：住
RPRNMLQLNHIFFAG08CA,山明段,79.59,都市：住
RPSNMLQLNHIFFAG18CA,山明段,19.50,都市：住
RPSNMLQLNHIFFAG18CA,山明段,83.19,都市：住
RPUNMLOLNHIFFAG18CA,梅花段,19.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLOLNHIFFAG18CA,梅花段,81.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLPKNHIFFAG58CA,羅群段,23.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLPKNHIFFAG58CA,羅群段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLSJNHIFFAG58CA,大義段,48.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLSJNHIFFAG58CA,大義段,98.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLTJNHIFFAG58CA,大坑段,1232.65,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLOJOHIFFAG28CA,中華段,62.00,都市：住
RPPNMLKMNHIFFAG37CA,中華段,8.82,都市：住
RPPNMLKMNHIFFAG37CA,中華段,9.05,都市：住
RPXPMLNKNHIFFAG48CA,頂二萬五段,3302.52,非都市：特定農業區 ; 非都市編定：農牧用地
RPQPMLPKNHIFFAG97CA,光華段,3074.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLTJNHIFFBG38CA,三泰段,555.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPSNMLPKNHIFFAG97CA,蘇市段,76.02,都市：商
RPSNMLPKNHIFFAG97CA,蘇市段,2.06,都市：商
RPTNMLLKNHIFFAG67CA,季新段,52.33,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWPMLKKNHIFFBG18CA,金六結段五結小段,30.50,都市：住
RPUPMLTJNHIFFAG68CA,公正段,76.00,都市：住
RPQQMLKKNHIFFBG67CA,金六結段六結小段,62.50,都市：住
RPOPMLTJNHIFFBG18CA,新二圍段,63.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLTJNHIFFBG48CA,保安段,80.31,都市：住
RPSNMLOKNHIFFBG97CA,壯一段,48.00,都市：住
RPSNMLOKNHIFFBG97CA,壯一段,17.00,都市：住
RPTSMLKKNHIFFBG18CA,壯志段,661.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVRMLTJNHIFFBG09CA,中興段,125.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLOLNHIFFBG87CA,烏石港段,139.88,都市：住
RPQPMLNKNHIFFBG87CA,和平段,93.25,都市：住
RPQPMLNKNHIFFBG87CA,和平段,22.99,都市：住
RPQOMLNKNHIFFBG77CA,宜榮段,1297.00,都市：農
RPQPMLRLNHIFFBG38CA,金六結段七結小段,9.25,都市：住
RPQPMLRLNHIFFBG38CA,金六結段七結小段,132.00,都市：住
RPQPMLRLNHIFFBG38CA,金六結段七結小段,26.00,都市：住
RPUSMLKKNHIFFBG28CA,珍子滿力段擺厘小段,19.90,都市：住
RPXQMLKKNHIFFBG38CA,功勞段,58.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXQMLKKNHIFFBG38CA,功勞段,159.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLOLNHIFFBG97CA,新南段,1705.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPORMLTJNHIFFBG48DA,新洲子段,3291.05,非都市：特定農業區 ; 非都市編定：農牧用地
RPRPMLRLNHIFFBG48CA,金六結段七結小段,55.50,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,168.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,36.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,57.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,319.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,278.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,138.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,33.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,50.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,45.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,41.00,都市：住
RPRPMLRLNHIFFBG48CA,金六結段七結小段,29.00,都市：住
RPWOMLOKNHIFFAG58EA,崙埤段,190.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLPKNHIFFBG58EA,成功段,3185.74,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLPKNHIFFBG28EA,拔雅林段拔雅林小段,574.00,都市：住
RPRNMLNKNHIFFBG87DA,五峰段,14.47,都市：住
RPTOMLPKNHIFFBG48EA,拔雅林段拔雅林小段,99.00,都市：其他
RPSOMLTJNHIFFAG58EA,東光段,580.50,都市：商
RPPOMLSJNHIFFAG18EA,隆昌段,105.57,都市：住
RPOQMLTJNHIFFBG48EA,中崙段,102.69,非都市：特定農業區 ; 非都市編定：農牧用地
RPOOMLSJNHIFFAG97DA,羅群段,1225.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLKKNHIFFBG57EA,建業段,136.36,都市：住
RPPOMLKKNHIFFBG57EA,建業段,4.19,都市：住
RPPOMLKKNHIFFBG57EA,建業段,21.67,都市：住
RPUOMLKKNHIFFAG87DA,二萬五段,2919.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLKKNHIFFBG28EA,黎明段,19.18,都市：住
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,1.05,都市：其他
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,.70,都市：其他
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,2.10,都市：其他
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,.35,都市：其他
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,.70,都市：其他
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,4.90,都市：其他
RPTPMLKKNHIFFBG08EA,珍子滿力段擺厘小段,66.50,都市：其他
RPVQMLNKNHIFFAG48DA,羅群段,12.70,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLKKNHIFFAG47DA,隘城段,107.39,都市：住
RPRNMLMLNHIFFAG77DA,大吉二段,180.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRQMLTJNHIFFBG78EA,古結段,1443.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRQMLTJNHIFFBG78EA,古結段,1163.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOPMLSJNHIFFAG08DA,梅花段,19.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOPMLSJNHIFFAG08DA,梅花段,81.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPROMLTJNHIFFBG58EA,新洲子段,2560.54,非都市：特定農業區 ; 非都市編定：農牧用地
RPUQMLNKNHIFFAG38DA,羅莊段,21.60,都市：住
RPUNMLSLOHIFFAG78DA,國華段,9.80,都市：住
RPPQMLTJNHIFFBG58EA,玉石段,9.91,都市：住
RPPQMLTJNHIFFBG58EA,玉石段,.88,都市：其他
RPPQMLTJNHIFFBG58EA,玉石段,.02,都市：其他
RPUPMLKKNHIFFBG18EA,金六結段七結小段,14.18,都市：住
RPUPMLKKNHIFFBG18EA,金六結段七結小段,.55,都市：住
RPWNMLTJNHIFFAG88EA,香城段,140.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLTJNHIFFAG88EA,鹿皮段,1450.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQRMLKKNHIFFBG97EA,延平段,87.00,都市：農
RPQRMLKKNHIFFBG97EA,延平段,15.00,都市：農
RPVNMLTJNHIFFAG78EA,興東段,.44,都市：商
RPVNMLTJNHIFFAG78EA,興東段,2.23,都市：商
RPTPMLNKNHIFFBG28DA,壯東段,2500.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPXNMLTJNHIFFAG98EA,維揚段,85.00,都市：住
RPTRMLKKNHIFFBG18DA,石城段,24.01,都市：其他
RPTRMLKKNHIFFBG18DA,石城段,4.25,都市：其他
RPTRMLKKNHIFFBG18DA,石城段,44.86,都市：其他
RPTRMLKKNHIFFBG18DA,石城段,32.02,都市：其他
RPWPMLTJNHIFFBG09DA,功勞段,10.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLTJNHIFFBG09DA,功勞段,31.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWPMLTJNHIFFBG09DA,功勞段,117.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLTJNHIFFBG78DA,功勞段,10.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLTJNHIFFBG78DA,功勞段,31.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLTJNHIFFBG78DA,功勞段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVPMLRKNHIFFBG78CA,常興段,1692.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPVPMLRKNHIFFBG78CA,常興段,1945.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPWPMLRKNHIFFBG88CA,新興一段,.81,都市：其他
RPOOMLRKNHIFFBG97CA,吉祥一段,5.43,都市：其他
RPOOMLRKNHIFFBG97CA,吉祥一段,98.99,都市：住
RPOOMLRKNHIFFBG97CA,吉祥一段,12.50,都市：住
RPXPMLRKNHIFFBG98CA,新興一段,26.76,都市：其他
RPPQMLRKNHIFFBG28CA,新興一段,19.97,都市：其他
RPQOMLRKNHIFFBG18CA,吉祥一段,28.10,都市：住
RPQOMLRKNHIFFBG18CA,吉祥一段,128.31,都市：住
RPOQMLRKNHIFFBG18CA,新興一段,16.21,都市：其他
RPPOMLRKNHIFFBG08CA,吉祥一段,11.75,都市：住
RPPOMLRKNHIFFBG08CA,吉祥一段,107.82,都市：住
RPUNMLNLNHIFFBG18CA,中興段,710.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQRMLKKNHIFFBG77CA,金六結段六結小段,61.00,都市：住
RPRQMLRKNHIFFBG48CA,新興一段,12.41,都市：其他
RPRQMLRKNHIFFBG48CA,新興一段,3.89,都市：其他
RPXNMLKKNHIFFBG08CA,忠義段,35.55,都市：住
RPVNMLOKNHIFFBG28CA,古結段,94.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTNMLNKNHIFFBG97CA,七賢段,554.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQRMLTJNHIFFBG58CA,協天段,9.28,都市：住
RPSNMLKKNHIFFBG57CA,新張段,92.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLKKNHIFFBG47CA,金六結段金結小段,14.65,都市：住
RPVOMLTJNHIFFBG78CA,功勞段,1753.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXQMLTJNHIFFBG56CA,三泰段,75.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTQMLTJNHIFFBG78CA,中興段,110.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXNMLKKNHIFFAG97CA,大吉二段,129.58,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLPKNHIFFAG08CA,拱照段,2735.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUOMLSJNHIFFAG48CA,家福段,1148.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLSJNHIFFAG48CA,家福段,446.79,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLSJNHIFFAG48CA,家福段,730.38,非都市： ; 非都市編定：
RPPNMLLKNHIFFAG27CA,文化段,79.80,都市：住
RPPNMLLKNHIFFAG27CA,文化段,45.60,都市：住
RPXNMLOKNHIFFAG38CA,安平段,268.97,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPSPMLPKNHIFFAG18CA,羅莊段,15.02,都市：住
RPOPMLOKNHIFFAG67CA,信義段,11.07,都市：商
RPRNMLLKNHIFFAG47CA,文化段,79.80,都市：住
RPRNMLLKNHIFFAG47CA,文化段,39.45,都市：住
RPQOMLTJNHIFFAG18CA,鹿安段,1264.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLTJNHIFFAG18CA,鹿安段,1271.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLKNHIFFAG37CA,隆昌段,4.87,都市：住
RPQNMLLKNHIFFAG37CA,隆昌段,76.09,都市：住
RPQNMLLKNHIFFAG37CA,隆昌段,11.88,都市：住
RPSNMLLKNHIFFAG57CA,文化段,79.80,都市：住
RPSNMLLKNHIFFAG57CA,文化段,45.61,都市：住
RPVNMLRKNHIFFAG48CA,義德段,150.09,都市：住
RPWNMLTJNHIFFAG68CA,聖湖段,33.99,都市：住
RPVNMLKLNHIFFAG87CA,人和一段,2572.25,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLTLNHIFFAG88CA,北富段,2395.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLTLNHIFFAG38CA,維揚段,23.86,都市：住
RPSOMLKLNHIFFAG67CA,百福段,125.33,都市：住
