編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPUQMLQKQHIFFEE56CB,坡道平面,950000,29.24
RPXPMLKLQHIFFEE88CB,坡道平面,950000,29.24
RPXQMLLLQHIFFEE09CB,坡道平面,850000,29.24
RPQQMLKLQHIFFEE28CB,坡道平面,800000,27.17
RPOPMLLLQHIFFDE97CB,坡道平面,0,20.21
RPXPMLLLQHIFFDE88CB,坡道平面,0,20.21
RPVPMLLLQHIFFDE68CB,坡道平面,0,20.21
RPSNMLMLQHIFFDE28CB,坡道平面,0,20.21
RPTNMLMLQHIFFDE38CB,坡道平面,0,20.21
RPWNMLMLQHIFFDE68CB,坡道平面,0,22.20
RPPPMLLLQHIFFDE08CB,坡道平面,0,22.20
RPUPMLLLQHIFFDE58CB,坡道平面,0,22.20
RPSPMLLLQHIFFDE38CB,坡道平面,0,
RPOOMLMLQHIFFDE97CB,坡道平面,0,22.20
RPXNMLMLQHIFFDE78CB,坡道平面,0,20.21
RPSOMLMLQHIFFDE38CB,坡道平面,0,20.21
RPPOMLMLQHIFFDE08CB,坡道平面,0,22.20
RPQOMLMLQHIFFDE18CB,坡道平面,0,22.20
RPUOMLMLQHIFFDE58CB,坡道平面,0,22.20
RPRPMLLLQHIFFDE28CB,坡道平面,0,22.20
RPVOMLMLQHIFFDE68CB,坡道平面,0,22.20
RPSPMLMLQHIFFDE48CB,坡道平面,0,22.20
RPQPMLMLQHIFFEE38CB,坡道平面,800000,27.17
RPOPMLRLQHIFFEE68CB,坡道平面,950000,29.24
